doi,title,authors
10.1073/pnas.1417150112,Specific heat and sound velocity at the relevant competing phase of high-temperature superconductors,"Chandra M Varma, Lijun Zhu"
10.1073/pnas.1418994112,Suppression of phase separation and giant enhancement of superconducting transition temperature in FeSe1−xTex thin films,"Yoshinori Imai, Yuichi Sawada, Fuyuki Nabeshima, Atsutaka Maeda"
10.1073/pnas.1421174112,Avoided valence transition in a plutonium superconductor,"B J Ramshaw, Arkady Shekhter, Ross D Mcdonald, Jon B Betts, J N Mitchell, P H Tobash, C H Mielke, E D Bauer, Albert Migliori"
10.1073/pnas.1502460112,"Polytypism, polymorphism, and superconductivity in TaSe2−xTex","Huixia Luo, Weiwei Xie, Jing Tao, Hiroyuki Inoue, András Gyenis, Jason W Krizan, Ali Yazdani, Yimei Zhu, Robert Joseph Cava"
10.1073/pnas.1510435112,Evidence for superconductivity in Li-decorated monolayer graphene,"B M Ludbrook, G Levy, P Nigge, M Zonno, M Schneider, D J Dvorak, C N Veenstra, S Zhdanovich, D Wong, P Dosanjh, C Straßer, A Stöhr, S Forti, C R Ast, U Starke, A Damascelli"
10.1073/pnas.1520810113,Electric field-induced superconducting transition of insulating FeSe thin film at 35 K,"Kota Hanzawa, Hikaru Sato, Hidenori Hiramatsu, Toshio Kamiya, Hideo Hosono"
10.1073/pnas.1602709113,Fermi liquid behavior of the in-plane resistivity in the pseudogap state of YBa2Cu4O8,"Cyril Proust, Baptiste Vignolle, Julien Levallois, S Adachi, Nigel E Hussey"
10.1073/pnas.1612591113,Magnetic phase diagram of underdoped YBa2Cu3Oy inferred from torque magnetization and thermal conductivity,"Fan Yu, Max Hirschberger, Toshinao Loew, Gang Li, Benjamin J Lawson, Tomoya Asaba, J B Kemper, Tian Liang, Juan Porras, Gregory S Boebinger, John Singleton, Bernhard Keimer, Lu Li, N Phuan Ong"
10.1073/pnas.1711445114,Spin susceptibility of charge-ordered YBa2Cu3Oy across the upper critical field,"Rui Zhou, Michihiro Hirata, Tao Wu, Igor Vinograd, Hadrien Mayaffre, Steffen Krämer, Arneil P Reyes, Philip L Kuhns, Ruixing Liang, W N Hardy, D A Bonn, Marc-Henri Julien"
10.1073/pnas.1713916115,Polaronic behavior in a weak-coupling superconductor,"Adrian G Swartz, Hisashi Inoue, Tyler A Merz, Yasuyuki Hikita, Srinivas Raghu, Thomas P Devereaux, Steven Johnston, Harold Y Hwang"
10.1073/pnas.1716981114,Robust zero resistance in a superconducting high-entropy alloy at pressures up to 190 GPa,"Jing Guo, Honghong Wang, Fabian Von Rohr, Zhe Wang, Shu Cai, Yazhou Zhou, Ke Yang, Aiguo Li, Sheng Jiang, Qi Wu, Robert J Cava, Liling Sun"
10.1073/pnas.1803767115,High-temperature superconductivity using a model of hydrogen bonds,"Daniel Kaplan, Yoseph Imry"
10.1073/pnas.1908368116,Photoenhanced metastable c-axis electrodynamics in stripe-ordered cuprate La1.885Ba0.115CuO4,"Kevin A Cremin, Jingdi Zhang, Christopher C Homes, G D Gu, Zhiyuan Sun, Michael M Fogler, Andrew J Millis, D N Basov, Richard D Averitt"
10.1073/pnas.201228498,Particle-hole symmetry in the antiferromagnetic state of the cuprates,"Yayu Wang, N P Ong"
10.1073/pnas.2020585118,Quadrupolar charge dynamics in the nonmagnetic FeSe 1−x S x superconductors,"Weilu Zhang, Shangfei Wu, Shigeru Kasahara, Takasada Shibauchi, Yuji Matsuda, Girsh Blumberg"
10.1073/pnas.211363698,Thermodynamics of the interplay between magnetism and high-temperature superconductivity,"Steven A Kivelson, G Aeppli, Victor J Emery"
10.1080/00018730500057536,Ferromagnet–superconductor hybrids,"I F Lyuksyutov *, V L Pokrovsky"
10.1080/00018730600645636,The effect of collective spin-1 excitations on electronic spectra in high-Tcsuperconductors,Matthias Eschrig
10.1080/00018730701627707,Gutzwiller–RVB theory of high-temperature superconductivity: Results from renormalized mean-field theory and variational Monte Carlo calculations,"B Edegger, V N Muthukumar, C Gros"
10.1080/00018730802567505,Universal behaviour and the two-component character of magnetically underdoped cuprate superconductors,"Victor Barzykin, David Pines"
10.1080/00018732.2013.862020,Functional renormalization group for multi-orbital Fermi surface instabilities,"C Platt, W Hanke, R Thomale"
10.1080/00018732.2014.940227,Intermediate coupling model of the cuprates,"Tanmoy Das, R S Markiewicz, A Bansil"
10.1080/00107510110108681,Quasi-two-dimensional organic superconductors: A review,"John Singleton, Charles Mielke"
10.1080/00150190211319,Low-Temperature Properties of Pb(Zr 1− x Ti x )O 3 Solid Solutions near the Morphotropic Phase Boundary,"L Bellaiche, Alberto García, David Vanderbilt"
10.1080/00268976.2015.1131860,Role of the ward identity and relevance of the G0W0 approximation in normal and superconducting states,Yasutami Takada
10.1080/00319100600568673,Scaling of the superconducting transition temperature in underdoped high-Tccuprates with a pseudogap energy: Does this support the anyon model of their superfluidity?,"G G N Angilella, N H March, R Pucci"
10.1080/01411590412331316636,Plasmon exchange model for superconductivity in carbon nanotubes and metallic nanowires,"S M Bose, S Gayen"
10.1080/01411594.2012.658051,Properties of the superconducting state in compressed sulphur,"A P Durajski, R Szczę[sgrave]niak, M W Jarosik"
10.1080/0141861031000111129,Strongly anisotropic s-wave gaps in exotic superconductors,B H Brandow
10.1080/08940886.2012.700842,Resonant Inelastic X-ray Scattering at the ESRF: Hard and Soft X-rays,"Lucio Braicovich, Nicholas B Brookes, Giacomo Ghiringhelli, M Minola, G Monaco, Marco Moretti Sala, L Simonelli"
10.1080/08957959108245505,High temperature superconductivity under pressure,"J E Hirsch, F Marsiglio"
10.1080/08957959.2016.1173690,High pressure research using muons at the Paul Scherrer Institute,"R Khasanov, Z Guguchia, A Maisuradze, D Andreica, M Elender, A Raselli, Z Shermadini, T Goko, F Knecht, E Morenzoni, A Amato"
10.1080/09500839.2010.487473,Superconductivity in Ca-intercalated bilayer graphene,"I I Mazin, A V Balatsky"
10.1080/095008398178165,S -wave superconductivity in weak ferromagnetic metals,"K B Blagoev, J R Engelbrecht, K S Bedell"
10.1080/10408436.2012.719131,Correlated Electron Materials and Field Effect Transistors for Logic: A Review,"You Zhou, Shriram Ramanathan"
10.1080/10584580108016927,Size effects of static and dynamic polarization in ferroelectric thin film multilayers,"M D Glinchuk, E A Eliseev, V A Stephanovich, M G Karkut, R Farhi, L Jastrabik"
10.1080/13642810008209788,Andreev reflection in engineered Al/Si/InxGa1−xAs(001) junctions,"Silvano De Franceschi, Francesco Giazotto, Fabio Beltram, Lucia Sorba, Marco Lazzarino, Alfonso Franciosi"
10.1080/13642810008218340,Magnetization measurements on single crystals of superconducting Ba0.6K0.4BiO3,"Donavan Hall, R G Goodrich, C G Grenier, Pradeep Kumar, Murali Chaparala, M L Norton"
10.1080/13642810108216540,Nanodomain structure and function of high-temperature superconductors,"J C Phillips, J Jung"
10.1080/13642810108216541,Fractal nature and scaling exponents of non-Drude currents in non-Fermi liquids,J C Phillips
10.1080/13642810110117176,Universality of the intermediate phase and high-temperature superconductivity in C 60,J C Phillips
10.1080/13642810208220725,Role of the electron-phonon interaction in the strongly correlated cuprate superconductors,"Z-X Shen, A Lanzara, S Ishihara, N Nagaosa"
10.1080/13642810210126670,Zigzag filamentary theory of broken symmetry of neutron and infrared vibronic spectra of YBa 2 Cu 3 O 6+x,"J C Phillips, J Jung"
10.1080/13642810210146443,Coexistence of superconductivity and ferromagnetism in the graphite-sulphur system,"S Moehlecke, Pei-Chun Ho, M B Maple"
10.1080/13642819808206400,First-order pre-melting transition of vortex lattices,"Hervé M Carruzzo, Clare C Yu"
10.1080/14686996.2018.1548885,Data-driven exploration of new pressure-induced superconductivity in PbBi2Te4,"Ryo Matsumoto, Zhufeng Hou, Masanori Nagao, Shintaro Adachi, Hiroshi Hara, Hiromi Tanaka, Kazuki Nakamura, Ryo Murakami, Sayaka Yamamoto, Hiroyuki Takeya, Tetsuo Irifune, Kiyoyuki Terakura, Yoshihiko Takano"
10.1080/1478643031000155138,Network topology and subgap resonances observed by Fourier transform scanning tunnelling microscopy of cuprate high-temperature superconductors,J C Phillips
10.1080/14786430410001678136,"Bosonic mode interpretation of novel scanning tunnelling microscopy and related experimental results, within boson–fermion modelling of cuprate high-temperature superconductivity",John A Wilson
10.1080/14786430412331293504,Unambiguous evidence for extended s-wave pairing symmetry in hole-doped high-temperature superconductors,Guo-Meng Zhao
10.1080/14786430412331293513,The magnetic resonance in high-temperature superconductors: evidence for an extended s-wave pairing symmetry,Guo-Meng Zhao
10.1080/14786430412331314645,Why are cuprates the only high-temperature superconductors?,J C Phillips
10.1080/14786435.2010.527864,Coexisting holes and electrons in high-TCmaterials: implications from normal state transport,"Dale R Harshman, John D Dow, Anthony T Fiory"
10.1080/14786435.2012.681711,Metastable superconducting state in quenched KxFe2−ySe2,"Fei Han, Huan Yang, Bing Shen, Zhen-Yu Wang, Chun-Hong Li, Hai-Hu Wen"
10.1080/14786435.2012.682180,Physical properties of single crystalline BaSn5,"Xiao Lin, Sergey L Bud'ko, Paul C Canfield"
10.1080/14786435.2012.724185,"Superconductivity of F-substitutedLnOBiS2(Ln=La, Ce, Pr, Nd, Yb) compounds","D Yazici, K Huang, B D White, A H Chang, A J Friedman, M B Maple"
10.1080/14786435.2012.750769,Boron isotope effect in single crystals of superconductor,"Halyna Hodovanets, Sheng Ran, Paul C Canfield, Sergey L Bud’ko"
10.1080/14786435.2013.816450,Superconductivity and crystal structure of the palladium–iron–arsenides Ca10(Fe1−xPdxAs)10Pd3As8,"C Hieke, J Lippmann, T Stürzer, G Friederichs, F Nitsche, F Winter, R Pöttgen, D Johrendt"
10.1080/14786435.2014.887861,Broken symmetries in URu2Si2,"Takasada Shibauchi, Hiroaki Ikeda, Yuji Matsuda"
10.1080/14786435.2014.906758,"Pairing, pseudogap and Fermi arcs in cuprates","Adam Kaminski, Takeshi Kondo, Tsunehiro Takeuchi, Genda Gu"
10.1080/14786435.2014.966796,"Superconductivity by transition metal doping in Ca10(Fe1−xMxAs)10(Pt3As8) (M= Co, Ni, Cu)","Tobias Stürzer, Fabian Kessler, Dirk Johrendt"
10.1080/14786435.2014.980351,What is the pairing glue in the cuprates? Insights from normal and anomalous propagators,"T Bzdušek, R Hlubina"
10.1080/14786435.2015.1004378,"Crystal growth and annealing study of fragile, non-bulk superconductivity in YFe2Ge2","H Kim, S Ran, E D Mun, H Hodovanets, M A Tanatar, R Prozorov, S L Bud’ko, P C Canfield"
10.1080/14786435.2016.1232866,Theory perspective: SCES 2016,Piers Coleman
10.1080/14786435.2016.1273558,Peculiar properties of -chain-based superconductors,"Guang-Han Cao, Jin-Ke Bao, Zhang-Tu Tang, Yi Liu, Hao Jiang"
10.1080/14786435.2017.1347726,57Fe Mössbauer study of stoichiometric iron-based superconductor CaKFe4As4: a comparison to KFe2As2and CaFe2As2,"Sergey L Bud’ko, Tai Kong, William R Meier, Xiaoming Ma, Paul C Canfield"
10.1080/14786435.2018.1511070,Interplay between unconventional superconductivity and heavy-fermion quantum criticality: CeCu2Si2 versus YbRh2Si2,"M Smidman, O Stockert, J Arndt, G M Pang, L Jiao, H Q Yuan, H A Vieyra, S Kitagawa, K Ishida, K Fujiwara, T C Kobayashi, E Schuberth, M Tippmann, L Steinke, S Lausberg, A Steppke, M Brando, H Pfau, U Stockert, P Sun, S Friedemann, S Wirth, C Krellner, S Kirchner, E M Nica, R Yu, Q Si, F Steglich"
10.1081/fst-120027164,Theoretical Model for the Structural Phase Transition and the Metal–Insulator Transition in Polymerized KC60,"B Verberck, A V Nikolaev, K H Michel"
10.1088/0022-3727/41/22/225306,Electrical and optical properties of hydrated amorphous vanadium oxide,"Alexander Pergament, A Velichko, V Putrolaynen, G Stefanovich, Nikolai Kuldin, A Cheremisin, I Feklistov, N Khomlyuk"
10.1088/0022-3727/49/27/275002,"Superconductivity in La1−xSmxO0.5F0.5BiS2(x = 0.2, 0.8) under hydrostatic pressure","G Kalai Selvan, Gohil S Thakur, K Manikandan, A Banerjee, Zeba Haque, L C Gupta, Ashok K Ganguli, S Arumugam"
10.1088/0031-8949/1986/t13/037,Superconductivity of Silicon,"G Martinez, J M Mignot, G Chouteau, K J Chang, Michel M Dacorogna, Marvin L Cohen"
10.1088/0031-8949/2012/t151/014019,Using abrupt changes in magnetic susceptibility within type-II superconductors to explore global decoherence phenomena,"Stephen J Minter, Raymond Y Chiao, Luis A Martinez"
10.1088/0031-8949/83/03/038302,The pairing mechanism of high-temperature superconductivity: experimental constraints,Guo-Meng Zhao
10.1088/0031-8949/83/03/038304,Reply to Comment on ‘The pairing mechanism of high-temperature superconductivity: experimental constraints’,Guo-Meng Zhao
10.1088/0031-8949/85/03/035704,The origin of the Meissner effect in new and old superconductors,J E Hirsch
10.1088/0031-8949/85/03/035704,The origin of the Meissner effect in new and old superconductors,"J E Hirsch, F Marsiglio"
10.1088/0031-8949/88/06/068504,A view from inside iron-based superconductors,"P Carretta, R De Renzi, G Prando, S Sanna"
10.1088/0034-4885/62/1/002,The pseudogap in high-temperature superconductors: an experimental survey,"Tom Timusk, Bryan Statt"
10.1088/0034-4885/65/2/202,Extrinsic magnetotransport phenomena in ferromagnetic oxides,M Ziese
10.1088/0034-4885/65/4/203,Resonant x-ray scattering in manganites: study of the orbital degree of freedom,"Sumio Ishihara, Sadamichi Maekawa"
10.1088/0034-4885/66/10/r01,The electronic nature of high temperature cuprate superconductors,"M R Norman, C Pépin"
10.1088/0034-4885/66/12/r01,Quantum phase transitions,Thomas Vojta
10.1088/0034-4885/71/1/012501,From high temperature superconductivity to quantum spin liquid: progress in strong correlation physics,Patrick A Lee
10.1088/0034-4885/71/2/026501,Anomalous transport phenomena in Fermi liquids with strong magnetic fluctuations,Hiroshi Kontani
10.1088/0034-4885/71/6/062501,Two gaps make a high-temperature superconductor?,"S Hüfner, M A Hossain, A Damascelli, G A Sawatzky"
10.1088/0034-4885/72/12/122501,Theory of radio frequency spectroscopy experiments in ultracold Fermi gases and their relation to photoemission in the cuprates,"Qijin Chen, Yan He, Chih-Chun Chien, K Levin"
10.1088/0034-4885/72/2/026502,Nuclear magnetic resonance in the heavy fermion superconductors,N J Curro
10.1088/0034-4885/73/12/126501,Fundamental studies of superconductors using scanning magnetic imaging,J R Kirtley
10.1088/0034-4885/74/12/124503,Interplay between magnetism and superconductivity in iron-chalcogenide superconductors: crystal growth and characterizations,"Jinsheng Wen, Guangyong Xu, Genda Gu, J M Tranquada, R J Birgeneau"
10.1088/0034-4885/74/12/124505,London penetration depth in iron-based superconductors,"Ruslan Prozorov, Vladimir G Kogan"
10.1088/0034-4885/74/12/124507,Quantum oscillation studies of the Fermi surface of iron-pnictide superconductors,A Carrington
10.1088/0034-4885/74/12/124508,Gap symmetry and structure of Fe-based superconductors,"P J Hirschfeld, M M Korshunov, I I Mazin"
10.1088/0034-4885/74/12/124509,"Directional point-contact Andreev-reflection spectroscopy of Fe-based superconductors: Fermi surface topology, gap symmetry, and electron–boson interaction","D Daghero, M Tortello, G A Ummarino, R S Gonnelli"
10.1088/0034-4885/74/12/124511,The behavior of grain boundaries in the Fe-based superconductors,"J H Durrell, C-B Eom, A Gurevich, E E Hellstrom, C Tarantini, A Yamamoto, D C Larbalestier"
10.1088/0034-4885/74/12/124512,Fe-based superconductors: an angle-resolved photoemission spectroscopy perspective,"P Richard, T Sato, K Nakayama, T Takahashi, H Ding"
10.1088/0034-4885/74/12/124513,Spectroscopic scanning tunneling microscopy insights into Fe-based superconductors,Jennifer E Hoffman
10.1088/0034-4885/74/6/066501,Bosons in high-temperature superconductors: an experimental survey,"Jules P Carbotte, Thomas Timusk, Jungseek Hwang"
10.1088/0034-4885/75/11/112501,Overview on the physics and materials of the new superconductor KxFe2−ySe2,Hai-Hu Wen
10.1088/0034-4885/75/4/042501,Chiral p-wave order in Sr2RuO4,Catherine Kallin
10.1088/0034-4885/75/4/046501,Micrometre-scale refrigerators,"Juha T Muhonen, Matthias Meschke, Jukka P Pekola"
10.1088/0034-4885/75/5/052501,Considerations on the mechanisms and transition temperatures of superconductivity induced by electronic fluctuations,C M Varma
10.1088/0034-4885/78/10/106001,Quantum transport in Rashba spin–orbit materials: a review,"Dario Bercioux, Procolo Lucignano"
10.1088/0034-4885/79/6/064502,Infrared properties of heavy fermions: evolution from weak to strong hybridizations,"R Y Chen, N L Wang"
10.1088/0034-4885/79/7/074502,Materials design for new superconductors,M R Norman
10.1088/0034-4885/79/7/074503,From Kondo lattices to Kondo superlattices,"Masaaki Shimozawa, Swee K Goh, Takasada Shibauchi, Yuji Matsuda"
10.1088/0034-4885/79/9/094502,Recent progress of probing correlated electron states by point contact spectroscopy,"Wei-Cheng Lee, Laura H Greene"
10.1088/0034-4885/79/9/094503,Multiple quantum phase transitions and superconductivity in Ce-based heavy fermions,"Z F Weng, M Smidman, L Jiao, Xin Lu, H Q Yuan"
10.1088/0143-0807/33/4/757,Demonstration experiments for solid-state physics using a table-top mechanical Stirling refrigerator,"M R Osorio, A Palacio Morales, J G Rodrigo, H Suderow, S Vieira"
10.1088/0253-6102/43/6/034,Kinetic Energy Driven Superconductivity in the Electron Doped Cobaltate Na x CoO 2 · y H 2 O,"Liu Bin, Liang Ying, Feng Shi-Ping, Chen Wei-Yeu"
10.1088/0253-6102/49/2/52,Substitution Effects on MgB 2 Superconductivity,"Liu Juan, Zhao Yuan, Yi Lin"
10.1088/0253-6102/57/5/20,Nonlocal Free Energy of a Spatially Inhomogeneous Superconductor,"Konstantin V Grigorishin, Bohdan I Lev"
10.1088/0256-307x/16/12/009,Optical Oscillator Strengths for 3 2 S → 4 2 P and 3 2 S → 5 2 P Excitations of Na,"Xiao-Jun Zhang, Lin-Fan Zhu, Ying-Xue Wang, Xiao-Jing Liu, Ren-Fei Feng, Ke-Zun Xu, Zhi-Ping Zhong, Jun Yan"
10.1088/0256-307x/18/12/332,Possible Superconductivity at 37 K in Graphite-Sulphur Composite,"Yang Hai-Peng, Wen Hai-Hu, Zhao Zhi-Wen, Li Shi-Liang"
10.1088/0256-307x/23/12/063,Critical Scaling of Extended Power Law I − V Isotherms near Vortex Glass Transition,"Hu Xiang, He Li, Ning Zhen-Hua, Chen Kai-Xuan, Yin Lan, Lu Guo, Xu Xiao-Lin, Guo Jian-Dong, Wang Fu-Ren, Li Chuan-Yi, Yin Dao-Le"
10.1088/0256-307x/25/10/066,Pseudogap and Superconducting Gap in Sm FeAs(O 1-x F x ) Superconductor from Photoemission Spectroscopy,"Liu Hai-Yun, Jia Xiao-Wen, Zhang Wen-Tao, Zhao Lin, Meng Jian-Qiao, Liu Guo-Dong, Dong Xiao-Li, Wu Gang, Liu Rong-Hua, Chen Xian-Hui, Ren Zhi-An, Yi Wei, Che Guang-Can, Chen Gen-Fu, Wang Nan-Lin, Wang Gui-Ling, Zhou Yong, Zhu Yong, Wang Xiao-Yang, Zhao Zhong-Xian, Xu Zu-Yan, Chen Chuang-Tian, Zhou Xing-Jiang"
10.1088/0256-307x/25/10/067,Common Features in Electronic Structure of the Oxypnictide Superconductors from Photoemission Spectroscopy,"Jia Xiao-Wen, Liu Hai-Yun, Zhang Wen-Tao, Zhao Lin, Meng Jian-Qiao, Liu Guo-Dong, Dong Xiao-Li, Wu Gang, Liu Rong-Hua, Chen Xian-Hui, Ren Zhi-An, Yi Wei, Che Guang-Can, Chen Gen-Fu, Wang Nan-Lin, Wang Gui-Ling, Zhou Yong, Zhu Yong, Wang Xiao-Yang, Zhao Zhong-Xian, Xu Zu-Yan, Chen Chuang-Tian, Zhou Xing-Jiang"
10.1088/0256-307x/25/6/082,Nodal Gap in Fe-Based Layered Superconductor LaO 0.9 F 0.1-δ FeAs Probed by Specific Heat Measurements,"Mu Gang, Zhu Xi-Yu, Fang Lei, Shan Lei, Ren Cong, Wen Hai-Hu"
10.1088/0256-307x/25/6/083,Angle Integrated Photoemission Study of SmO 0.85 F 0.15 FeAs,"Ou Hong-Wei, Zhao Jia-Feng, Zhang Yan, Shen Da-Wei, Zhou Bo, Yang Le-Xian, He Cheng, Chen Fei, Xu Min, Wu Tao, Chen Xian-Hui, Chen Yan, Feng Dong-Lai"
10.1088/0256-307x/25/6/086,"Element Substitution Effect in Transition Metal Oxypnictide Re(O 1- x F x )TAs (Re = rare earth, T = transition metal)","Chen Gen-Fu, Li Zheng, Wu Dan, Dong Jing, Li Gang, Hu Wan-Zheng, Zheng Ping, Luo Jian-Lin, Wang Nan-Lin"
10.1088/0256-307x/25/6/092,Femtosecond Optical Detection of Quasiparticle Dynamics in Single-Crystal Bi 2 Sr 2 CaCu 2 O 8+δ,"Cao Ning, Wei Yan-Feng, Zhao Ji-Min, Zhao Shi-Ping, Yang Qian-Sheng, Zhang Zhi-Guo, Fu Pan-Ming"
10.1088/0256-307x/25/9/083,Superconductivity in Hole-Doped (Sr 1−x K x )Fe 2 As 2,"Chen Gen-Fu, Li Zheng, Li Gang, Hu Wan-Zheng, Dong Jing, Zhou Jun, Zhang Xiao-Dong, Zheng Ping, Wang Nan-Lin, Luo Jian-Lin"
10.1088/0256-307x/26/1/017305,Fantastic Behaviour of High- T C Superconductor Junctions: Tunable Superconductivity,"Chen Yuan-Sha, Zhang Yan, Lian Gui-Jun, Xiong Guang-Cheng"
10.1088/0256-307x/26/1/017401,Enhanced Orbital Degeneracy in Momentum Space for LaOFeAs,"Zhang Hai-Jun, Xu Gang, Dai Xi, Fang Zhong"
10.1088/0256-307x/26/9/097401,Upper Critical Fields and Anisotropy of BaFe 1.9 Ni 0.1 As 2 Single Crystals,"Tao Qian, Shen Jing-Qin, Li Lin-Jun, Lin Xiao, Luo Yong-Kang, Cao Guang-Han, Xu Zhu-An"
10.1088/0256-307x/28/5/057401,"Growth, Characterization and Fermi Surface of Heavy Fermion CeCoIn 5 Superconductor","Xiao-Wen Jia, Yan Liu, Li Yu, Jun-Feng He, Lin Zhao, Wen-Tao Zhang, Hai-Yun Liu, Guo-Dong Liu, Snao-Long He, Jun Zhang, Wei Lu, Yue Wu, Xiao-Li Dong, Li-Ling Sun, Gui-Ling Wang, Yong Zhu, Xiao-Yang Wang, Qin-Jun Peng, Zhi-Min Wang, Shen-Jin Zhang, Feng Yang, Zu-Yan Xu, Chuang-Tian Chen, Xing-Jiang Zhou"
10.1088/0256-307x/28/6/067402,Fabrication and Properties of Aligned Sr 0.6 K 0.4 Fe 2 As 2 Superconductors by High Magnetic Field Processing,"Zhao-Shun Gao, Xian-Ping Zhang, Dong-Liang Wang, Yan-Peng Qi, Lei Wang, Jun-Sheng Cheng, Qiu-Liang Wang, Yan-Wei Ma, Satoshi Awaji, Kazuo Watanabe"
10.1088/0256-307x/28/8/086104,A Novel Large Moment Antiferromagnetic Order in K 0.8 Fe 1.6 Se 2 Superconductor,"Wei Bao, Qing-Zhen Huang, Gen-Fu Chen, Du-Ming Wang, Jun-Bao He, Yi-Ming Qiu"
10.1088/0256-307x/29/1/017401,75 As Nuclear Magnetic Resonance Studies on Ba(Fe 1− x Ni x ) 2 As 2 Single Crystals under High Pressure,"Xiao-Dong Zhang, Guo-Zhi Fan, Cheng-Lin Zhang, Xiu-Nian Jing, Jian-Lin Luo"
10.1088/0256-307x/29/3/037402,Interface-Induced High-Temperature Superconductivity in Single Unit-Cell FeSe Films on SrTiO 3,"Qing-Yan Wang, Zhi Li, Wen-Hao Zhang, Zuo-Cheng Zhang, Jin-Song Zhang, Wei Li, Hao Ding, Yun-Bo Ou, Peng Deng, Kai Chang, Jing Wen, Can-Li Song, Ke He, Jin-Feng Jia, Shuai-Hua Ji, Ya-Yu Wang, Li-Li Wang, Xi Chen, Xu-Cun Ma, Qi-Kun Xue"
10.1088/0256-307x/29/6/067401,Effect of Cleaving Temperature on the Surface and Bulk Fermi Surface of Sr 2 RuO 4 Investigated by High Resolution Angle-Resolved Photoemission,"Shan-Yu Liu, Wen-Tao Zhang, Hong-Ming Weng, Lin Zhao, Hai-Yun Liu, Xiao-Wen Jia, Guo-Dong Liu, Xiao-Li Dong, Jun Zhang, Zhi-Qiang Mao, Chuang-Tian Chen, Zu-Yan Xu, Xi Dai, Zhong Fang, Xing-Jiang Zhou"
10.1088/0256-307x/30/1/017402,Experimental Investigation of the Electronic Structure of Ca 0.83 La 0.17 Fe 2 As 2,"Yao-Bo Huang, Pierre Richard, Ji-Hui Wang, Xiao-Ping Wang, Xun Shi, Nan Xu, Zheng Wu, Ang Li, Jia-Xin Yin, Tian Qian, Bing Lv, Ching-Wu Chu, Shu-Heng Pan, Ming Shi, Hong Ding"
10.1088/0256-307x/30/12/127402,"Fermi Surface and Band Structure of (Ca,La)FeAs 2 Superconductor from Angle-Resolved Photoemission Spectroscopy","Xu Liu, De-Fa Liu, Lin Zhao, Qi Guo, Qing-Ge Mu, Dong-Yun Chen, Bing Shen, He-Mian Yi, Jian-Wei Huang, Jun-Feng He, Ying-Ying Peng, Yan Liu, Shao-Long He, Guo-Dong Liu, Xiao-Li Dong, Jun Zhang, Chuang-Tian Chen, Zu-Yan Xu, Zhi-An Ren, Xing-Jiang Zhou"
10.1088/0256-307x/30/2/027402,Superconductivity Tuned by the Iron Vacancy Order in K x Fe 2− y Se 2,"Wei Bao, Guan-Nan Li, Qing-Zhen Huang, Gen-Fu Chen, Jun-Bao He, Du-Ming Wang, M A Green, Yi-Ming Qiu, Jian-Lin Luo, Mei-Mei Wu"
10.1088/0256-307x/30/6/067402,Doping Evolution of Nodal Band Renormalization in Bi 2 Sr 2 CuO 6+δ Superconductor Revealed by Laser-Based Angle-Resolved Photoemission Spectroscopy,"Ying-Ying Peng, Jian-Qiao Meng, Lin Zhao, Yan Liu, Jun-Feng He, Guo-Dong Liu, Xiao-Li Dong, Shao-Long He, Jun Zhang, Chuang-Tian Chen, Zu-Yan Xu, Xing-Jiang Zhou"
10.1088/0256-307x/31/1/017401,Direct Observation of High-Temperature Superconductivity in One-Unit-Cell FeSe Films,"Wen-Hao Zhang, Yi Sun, Jin-Song Zhang, Fang-Sen Li, Ming-Hua Guo, Yan-Fei Zhao, Hui-Min Zhang, Jun-Ping Peng, Ying Xing, Hui-Chao Wang, Takeshi Fujita, Akihiko Hirata, Zhi Li, Hao Ding, Chen-Jia Tang, Meng Wang, Qing-Yan Wang, Ke He, Shuai-Hua Ji, Xi Chen, Jun-Feng Wang, Zheng-Cai Xia, Liang Li, Ya-Yu Wang, Jian Wang, Li-Li Wang, Ming-Wei Chen, Qi-Kun Xue, Xu-Cun Ma"
10.1088/0256-307x/31/12/127401,"High-Pressure Single-Crystal Neutron Scattering Study of Magnetic and Fe Vacancy Orders in (Tl,Rb) 2 Fe 4 Se 5 Superconductor","Feng Ye, Wei Bao, Song-Xue Chi, Ming-Hu Fang, Hang-Dong Wang, Qian-Hui Mao, Jin-Chen Wang, Juan-Juan Liu, Jie-Ming Sheng, Antonio M Dos Santos, Jamie J Molaison"
10.1088/0256-307x/31/6/067403,Observation of Strong-Coupling Pairing with Weakened Fermi-Surface Nesting at Optimal Hole Doping in Ca 0.33 Na 0.67 Fe2As 2,"Ying-Bo Shi, Yao-Bo Huang, Xiao-Ping Wang, Xun Shi, A Roekeghem, Wei-Lu Zhang, Na Xu, Pierre Richard, Tian Qian, Emile Rienks, S Thirupathaiah, Kan Zhao, Chang-Qing Jin, Ming Shi, Hong Ding"
10.1088/0256-307x/31/7/077401,Two Superconducting Phases and Their Characteristics in Layered BaTi 2 (Sb 1− x Bi x ) 2 O with x = 0.16,"Yue Wu, Xiao-Li Dong, Ming-Wei Ma, Huai-Xin Yang, Chao Zhang, Fang Zhou, Xing-Jiang Zhou, Zhong-Xian Zhao"
10.1088/0256-307x/31/9/097201,Transport Behavior in Spinel Oxide MgTi 2 O 4,"Yuan-Yuan Zhu, Rong-Juan Wang, Li Wang, Yong Liu, Rui Xiong, Jing Shi, Li-Heng An, Duo-Hua Sun"
